	id	pSentiment
0	"5814_8"	1
1	"2381_9"	1
2	"7759_3"	0
3	"3630_4"	0
4	"9495_8"	1
5	"8196_8"	1
6	"7166_2"	0
7	"10633_1"	0
8	"319_1"	0
9	"8713_10"	1
10	"2486_3"	0
11	"6811_10"	1
12	"11744_9"	1
13	"7369_1"	0
14	"12081_1"	0
15	"3561_4"	0
16	"4489_1"	0
17	"3951_2"	0
18	"3304_10"	1
19	"9352_10"	1
20	"3374_7"	1
21	"10782_7"	1
22	"5414_10"	1
23	"10492_1"	0
24	"3350_3"	0
25	"6581_7"	1
26	"2203_3"	0
27	"689_1"	0
28	"9152_1"	0
29	"6077_1"	0
30	"4656_4"	0
31	"9727_7"	1
32	"1297_8"	1
33	"5586_8"	1
34	"1119_1"	0
35	"11241_1"	0
36	"4005_10"	1
37	"6827_4"	0
38	"9011_9"	1
39	"11885_1"	0
40	"7897_8"	1
41	"4613_4"	0
42	"12106_10"	1
43	"11427_1"	0
44	"10135_2"	0
45	"4221_8"	1
46	"9983_3"	0
47	"9788_9"	1
48	"7316_1"	0
49	"9897_10"	1
50	"9654_10"	1
51	"2395_7"	1
52	"4439_4"	0
53	"8516_2"	0
54	"9057_3"	0
55	"11289_4"	0
56	"301_10"	1
57	"4155_10"	1
58	"8880_3"	0
59	"9569_9"	1
60	"1510_8"	1
61	"1782_4"	0
62	"8352_1"	0
63	"5983_8"	1
64	"11232_1"	0
65	"796_3"	0
66	"1150_10"	1
67	"11268_1"	0
68	"10064_10"	1
69	"6666_4"	0
70	"11471_7"	1
71	"9343_1"	0
72	"1142_3"	0
73	"6403_3"	0
74	"5440_2"	0
75	"8697_7"	1
76	"8459_3"	0
77	"6520_7"	1
78	"9952_8"	1
79	"8605_10"	1
80	"10531_10"	1
81	"11736_9"	1
82	"2614_1"	0
83	"2382_1"	0
84	"7168_10"	1
85	"9060_1"	0
86	"1777_10"	1
87	"5466_1"	0
88	"10533_10"	1
89	"5198_3"	0
90	"4784_2"	0
91	"11761_1"	0
92	"292_10"	1
93	"5240_1"	0
94	"3088_8"	1
95	"4032_4"	0
96	"2399_7"	1
97	"11259_1"	0
98	"8437_3"	0
99	"1864_1"	0
100	"5107_1"	0
101	"8157_4"	0
102	"2681_3"	0
103	"11724_8"	1
104	"12397_8"	1
105	"4680_10"	1
106	"1889_10"	1
107	"2511_4"	0
108	"9170_1"	0
109	"2592_10"	1
110	"2493_1"	0
111	"1587_2"	0
112	"6244_8"	1
113	"5971_3"	0
114	"2301_10"	1
115	"1520_7"	1
116	"6235_1"	0
117	"2230_10"	1
118	"11464_1"	0
119	"7700_2"	0
120	"2229_7"	1
121	"8815_2"	0
122	"116_1"	0
123	"2090_10"	1
124	"10069_1"	0
125	"2982_1"	0
126	"2119_4"	0
127	"3167_7"	1
128	"10147_1"	0
129	"10018_8"	1
130	"2302_9"	1
131	"8132_3"	0
132	"4414_9"	1
133	"7068_8"	1
134	"12174_7"	1
135	"11950_2"	0
136	"2050_7"	1
137	"1033_4"	0
138	"3476_10"	1
139	"6694_10"	1
140	"475_1"	0
141	"6237_4"	0
142	"3160_1"	0
143	"1986_10"	1
144	"4886_1"	0
145	"6752_3"	0
146	"9934_3"	0
147	"12349_4"	0
148	"1052_8"	1
149	"11973_4"	0
150	"4541_10"	1
151	"5169_7"	1
152	"6809_1"	0
153	"8125_7"	1
154	"4802_8"	1
155	"5752_1"	0
156	"6993_7"	1
157	"11220_10"	1
158	"4056_4"	0
159	"5427_3"	0
160	"3027_8"	1
161	"6940_4"	0
162	"2326_8"	1
163	"11211_8"	1
164	"5639_7"	1
165	"1556_8"	1
166	"2977_1"	0
167	"10865_7"	1
168	"12322_10"	1
169	"8273_2"	0
170	"12422_1"	0
171	"10464_1"	0
172	"8473_8"	1
173	"10869_7"	1
174	"3832_4"	0
175	"5514_4"	0
176	"6609_1"	0
177	"8158_2"	0
178	"5225_4"	0
179	"6998_4"	0
180	"1668_1"	0
181	"10392_3"	0
182	"5852_7"	1
183	"6147_1"	0
184	"3856_10"	1
185	"12304_10"	1
186	"1074_4"	0
187	"9219_2"	0
188	"11652_10"	1
189	"3675_2"	0
190	"58_3"	0
191	"10468_9"	1
192	"4502_7"	1
193	"3610_1"	0
194	"6390_2"	0
195	"8807_9"	1
196	"12148_10"	1
197	"10771_2"	0
198	"6766_3"	0
199	"2072_10"	1
200	"4794_8"	1
201	"11139_8"	1
202	"6884_10"	1
203	"9135_2"	0
204	"11127_9"	1
